slot,title,slug,content,speakers,Speaker Id,Session id,Start time (PST),Duration,time_start,time_end,type,track,language,url,Informed,Confirmed,Tech check,Rec status
a2,Istio Advanced Usecases,istio-advanced-usecases,"Salesforce is onboarding several open source stacks onto Service Mesh. As part of that, we have been solving a lot of advanced usecases with the features supported by Istio. This presentation walks you through how we have used Istio features to onboard these open source stacks onto Mesh. This presentation specifically covers
 
 * Hbase running in a Multicluster setup with Istio DNS
 * Cassandra running in a Multicluster setup with Istio DNS
 * Onboarding Trino
 * RabbitMQ with K8s Peer discovery
 * AWS services like Elastic Cache (with Auth support) and Postgres (with startTLS support)",Rama Chavali,8674f07b-3687-449c-adbb-b92961939369,323975,Apr-25 9:00,35,2022-04-25T16:00:00.000Z,2022-04-25T16:35:00.000Z,Presentation,Use case,English,/sessions/istio-advanced-usecases,25 Mar 2022 9:35 PM,26 Mar 2022 7:01 AM,,
a3,External CA integration with Istio explained,external-ca-integration-with-istio-explained,"Most organizations already have their PKI system in place before they adopt Istio or any service mesh. There are a few approaches in the Istio community, either plugging in your intermediate CA as secrets manually, or use the istio-csr open source project, or leverage Kubernetes CA or Kubernetes Certificate Signing Request (CSR) API. This talk dives into the few approaches out there in the service mesh community to tackle this challenge and the tradeoffs among them.","Lin Sun, Josh van Leeuwen","615aa5ad-a025-4800-91eb-a8997a2fa446, 02f223c1-b5dd-4253-98b4-376197078ec1",323950,Apr-25 9:40,35,2022-04-25T16:40:00.000Z,2022-04-25T17:15:00.000Z,Presentation,"Tools, features & functionality",English,/sessions/external-ca-integration-with-istio-explained,25 Mar 2022 9:35 PM,26 Mar 2022 7:26 PM,,
a4,Running Istio at Scale for a Secure and Compliant Cloud,running-istio-scale,"This talk will discuss how IBM leverages Istio as the bedrock of its Cloud for Financial Services. Providing a performant, secure, and compliant control plane for its core systems. It will discuss the challenges and pitfalls encountered during adoption; the evolution of the deployment process and its impact on production environments; and the configurations needed to maintain scale and performance for robust systems. The goal of this talk is to provide insight into the IBM Cloud Istio journey and generate a discussion on what is coming next.","Lucas Copi, Rafael Polanco","2859a328-a8c6-4ea9-94c3-c4a46a4c5723, ca98b113-77c8-49b3-9536-11a179268158",324484,Apr-25 10:20,35,2022-04-25T17:20:00.000Z,2022-04-25T17:55:00.000Z,Presentation,Getting started,English,/sessions/running-istio-scale,25 Mar 2022 9:35 PM,25 Mar 2022 9:55 PM,,
aw,Istio 0 to 60 Workshop,istio-0-to-60-workshop,"This workshop consists of a series of labs that together comprise a hands-on tour of Istio ""from 0 to 60,"" so to speak.
 
Eitan and Peter will introduce you to each topic in turn, and walk you through each lab.
 
After Installing Istio on top a Kubernetes cluster and deploying a microservices application to the mesh, you will work through a lab corresponding to each of the key features of Istio: 
 - Configuring Ingress
 - Observability
 - Security
 - Traffic management
 
If you want to get a better understanding of Istio, this workshop might be right for you!
 
Prerequisites:
 - Basic understanding of Kubernetes, Docker, and Linux command line.
 
After completing this workshop, you’ll be able to:
 - Understand the architecture and components of Istio 
 - Deploy Istio on a Kubernetes cluster 
 - Use traffic routing for blue-green and canary deployments 
 - Use Grafana, Zipkin, and Kiali for service observability 
 - Understand the basics of security in Istio and control access to your workloads","Eitan Suez, Peter Jausovec","fb5cfdbb-623c-42d3-bbd1-9a29965f5efa, 4c68d4f9-2037-4d99-94ec-dcf2489d6dd2",320167,Apr-25 11:00,150,2022-04-25T18:00:00.000Z,2022-04-25T20:30:00.000Z,Workshop,Getting started,English,/sessions/istio-0-to-60-workshop,,,,
a5,Lessons Learned on Multi-tenancy Controls in Istio,lessons-learned-on-multi-tenancy-controls,"As Istio adoption becomes mainstream within your organization, new challenges surrounding multi-tenancy and security across multi-cluster will naturally start to grow:

 - Which group owns what process/workflow? 
 - Which cluster(s) does each policy affect?  
 - How to provide control to some groups, while blocking access to others w.r.t. the mesh?
 - How does an administrator set this up in a secure fashion? 
 - How can we stay informed about potential policy violations?
 - How can this be fully automated?
 
In this discussion, Will and Alex will discuss these topics in detail and review strategies and experiences tackling these challenges with some of the largest deployments of service mesh in the world.","Alex Ly, Will McKinley","ee9fe6af-4768-46c2-bf10-98dd6641e7b1, 706d3a04-85b4-4bc3-9099-3a7c6441d7d0",324127,Apr-25 11:30,35,2022-04-25T18:30:00.000Z,2022-04-25T19:05:00.000Z,Presentation,"Tools, features & functionality",English,/sessions/lessons-learned-on-multi-tenancy-controls,25 Mar 2022 9:35 PM,28 Mar 2022 7:39 PM,,
a6,Proxyless gRPC,proxyless-grpc,"gRPC has been a popular choice for building microservices based service mesh architectures especially after the recent introduction of service mesh features such as service discovery, load balancing, mTLS for transport security, and observability which eliminated the need for sidecar proxies - like Envoy - in the service mesh. The introduction of these features in gRPC enabled a ""proxyless service mesh"". Besides supporting Google's Traffic Director proxyless service mesh product, proxyless gRPC also works with Istio because of the use of ""xDS"" - the industry standard and open protocol created by Envoy. 
 
The talk will include the use-case of how you can manage gRPC workloads without having to deploy an Envoy sidecar. It will also include the current efforts to standardize Istio support across all gRPC languages and multiple environments. One of those environments is ASM - which is managed Istio in Google Cloud and the talk will include a description of that implementation.",Sanjay Pujare,2e89e0af-f5d0-4dd6-8ca0-721f80368e87,324521,Apr-25 12:10,35,2022-04-25T19:10:00.000Z,2022-04-25T19:45:00.000Z,Presentation,Infrastructure & networking,English,/sessions/proxyless-grpc,25 Mar 2022 9:35 PM,28 Mar 2022 9:50 PM,,
a7,"Create resilient multi-cluster, multi-regional and multi-tenant architectures with Istio and K8s",create-resilient-multi-cluster-architectures,"Building distributed applications is hard! Building globally scalable distributed applications is harder! Maintaining and growing these services as your business grows is even harder!

This session takes an opinionated approach on how to create globally scalable platforms on multi-cluster, multi-regional and multi-tenant Kubernetes cluster architectures using Istio. 
 
The session covers (design opinions and reasonings for) the following concepts.
 
 1. Designing multi-cluster Kubernetes platforms 
 2. Application multi-tenancy
 3. Global networking, ingress, multi-cluster load balancing, locality considerations
 4. Security - AuthN, AuthZ, NetPol
 5. Ops - Observability, dashboards
 6. Application and cluster life-cycle management
 7. Demo (on GCP)",Ameer Abbas,b491b4f8-96eb-47e3-b55e-bb8b1fac8c60,324495,Apr-25 12:50,35,2022-04-25T19:50:00.000Z,2022-04-25T20:25:00.000Z,Presentation,Infrastructure & networking,English,/sessions/create-resilient-multi-cluster-architectures,25 Mar 2022 9:35 PM,25 Mar 2022 9:40 PM,,
b1b,Istio Open Source Ecosystem Outlook From China（Istio 开源生态展望）,ecosystem-outlook-from-china,"This panel focuses on the development of Istio's open source ecology and technology in China. We will do an in-depth discussion on the hot technologies and open source practices in the Istio field at this stage, such as ebpf, proxyless, custom protocol access, open source products and ecological development, etc.
 
本次圆桌会议聚焦于Istio在中国的开源生态和技术的发展，我们会对现阶段 Istio 领域的热门技术和开源实践做深入的探讨，例如 ebpf、proxyless、自定义协议接入、开源产品及生态发展等。","Jimmy Song, Kebe Liu, Huabing Zhao, Ruofei Ma","5f089b75-8835-4a12-81aa-2af5e1b358b6, 26415447-f9a1-4909-a6df-6695199e792f, 1892791a-a1af-4fe9-b7c8-ee89de2c76c3, b4317b42-f5e6-4e7c-bc9a-18e280eb292b",323737,Apr-25 18:15,40,2022-04-26T01:15:00.000Z,2022-04-26T01:55:00.000Z,Panel,Tech evolution & what's next,Chinese,/sessions/ecosystem-outlook-from-china,1 Apr 2022 3:08 AM,1 Apr 2022 3:24 AM,,
b2,Zhihu‘s istio Journey,zhihus-istio-journey,"In this presentation, we will talk about how we upgraded our microservices architecture by using istio in large scale clusters. Including:  
 1. How to make istio managed services and our existing services communicate with each other. 
 2. Use istio's dynamic routing capabilities to implement sandbox functionality. 
 3. Simplified the configuration management of istio by introducing a new CR (istiofilter) and implementing a new management console.
 4. Simplify the rate limit configurations by implementing a new CR.
 5. Performance tuning in large scale clusters. 
 
 
 在本次演讲中，我们要谈谈我们如何在大规模集群下使用istio升级我们的微服务架构。
 这包括：
 1. 如何使 istio 管理的服务和现存服务之间可以互相通信。
 2. 使用 istio 动态路由的能力实现沙箱功能。
 3. 通过引入一个新的自定义资源 istiofilter 来简化 istio 的各项配置管理，并通过此实现一个 istio 的管理平台。
 4. 通过一个新的自定义资源实现限流配置的简化管理。
 5. 大规模集群性能优化
 
 等等","阳 唐, 楚瑜 谢","e15316e8-fda4-4d4a-95b2-33f2b212e2f9, f88ac5ce-059e-4b7a-b33f-d6164b4400ce",320120,Apr-25 19:00,35,2022-04-26T02:00:00.000Z,2022-04-26T02:35:00.000Z,Presentation,Use case,Chinese,/sessions/zhihus-istio-journey,28 Mar 2022 3:54 AM,No,,
b3,The road to microservice for Database as a Service (DBaaS) via Istio,microservice-dbaas,"Database as a Service (DBaaS) saw a significant growth YoY. One reason for the growth of DBaaS is explosive growth of data. The pandemic created strong data growth.
 
However, well designed DBaaS systems tend to adopt a stateless, loosely coupled architecture, with efficient message passing to produce a scalable, stable and reliable service. In addition, serving for multi-tenants to reduce cost and provide highly availability and scalability is a important offering of DBaaS.

Successful multi-tenant platforms require massive scalability, online patching/upgrading, the ability to process high volumes of data ingestion.
 
To make the DBaaS become more cloud native, there is a journey to migrate the legacy monolithic systems into microservice architecture. And as an excellent project of service mesh, Istio become the first choice to help to complete this process. 
 
In this talk, the audience can know the whole process to build a DBaaS in cloud native mode via Istio.","Peng Hui Jiang, Huailong Zhang","17c496f0-472c-462c-80c8-b08bc9ff8c9b, 01a859a5-b55a-4be2-9b1b-5ecca26a150f",324399,Apr-25 19:40,35,2022-04-26T02:40:00.000Z,2022-04-26T03:15:00.000Z,Presentation,"Tools, features & functionality",Chinese,/sessions/microservice-dbaas,28 Mar 2022 3:54 AM,28 Mar 2022 7:46 AM,,
